NUMCOM;GROUP;NAME;SNAME;M1;S1;G1;C1;N1;M2;S2;G2;C2;N2;NETNAME;BUT1;BUT2;BUT3;SV1;SV2;SV3;M_WARN;M_DRAW;M_CLEAR;M_FINISH;TIMEOUT;NEXTCOM;SUBCOM;KART;GRL_NAME;GRL_SV;GRL_MARSH;Код ПУ;Код ПУ аналоговый;TS
2;Другие команды;Основная СН с приема на отправление четн. Сети-Федосеев;ЧСН;0;11;11;1;0;0;0;0;0;0;SETI;4196;1031;0;@нпрЧ;;;;;;;0;0;;0;;;0; 0x0B01;0;
3;Ответственные команды;ПАСН четная горловина Федосеев-Сети;ПАСЧП;0;11;0;9;0;0;0;0;0;0;SETI;0;0;0;;;;;;;;0;0;;1;;;0; 0x0009;0;
4;Ответственные команды;ОАСН с отправления на прием четная горловина Федосеев-Сети;ЧСНЧП;0;11;0;10;0;0;0;0;0;0;SETI;0;0;0;;;;;;;;0;0;;2;;;0; 0x000A;0;
5;Ответственные команды;ПАСН четная горловина Сети-Федосеев;ПАСНО;0;11;0;11;0;0;0;0;0;0;SETI;4096;0;0;;;;;;;;0;6;10138^5;1;;;0; 0x000B;0;
6;Ответственные команды;ОАСН с приема на отправление четная горловина Сети-Федосеев;ЧСННО;0;11;0;12;0;0;0;0;0;0;SETI;0;0;0;;;;;;;;0;0;10139;2;;;0; 0x000C;0;
